,id,title,weighted_rating,genre_embedding,keywords_embedding,year
20,122,The Lord of the Rings: The Return of the King,8.440753736661058,"[ 0.07918943 -0.6827927   0.4201912   0.8220768  -0.31794834 -0.08728131
  0.41137946 -0.17576118]","[-0.08280978 -0.625222    0.27150354  0.27920344  0.18714467 -0.38402072
  0.3499385   0.15559548 -0.28616154  0.08770157  0.39934883 -0.15114678
  0.1298118  -0.51289785  0.08984745  0.07606158  0.00470544  0.01633716
  0.172377    0.5888674   0.6910168   0.43830925  0.42693794 -0.12893897
 -0.00645237  0.04473601 -0.4394437  -0.02366268 -0.01840768 -0.39522982
 -0.02519476  0.22897542]",0.8412698412698401
21,11324,Shutter Island,8.171845874753737,"[ 0.04525277 -0.5072569   0.37290046  0.77200764 -0.32128075 -0.05965935
  0.5699965  -0.02831256]","[-0.20404917 -0.7160496   0.32009953  0.22028613  0.17914535 -0.37871382
  0.40221623  0.11780975 -0.40196037  0.1537176   0.4666294  -0.15535106
  0.19899555 -0.5499935   0.08052861  0.0387748   0.01467389  0.01629807
  0.20665845  0.59713215  0.654051    0.48513997  0.44137037 -0.15022546
  0.00628628  0.10183132 -0.6280585   0.02545709 -0.11559031 -0.4465925
 -0.02600772  0.20704915]",0.8968253968253954
22,106646,The Wolf of Wall Street,8.009820105056582,"[ 0.03172621 -0.53205806  0.42804012  0.83896255 -0.4200634  -0.04326239
  0.5023567  -0.09394643]","[-0.10259432 -0.45236245  0.21069895  0.19406538  0.1054329  -0.25246736
  0.2822987   0.06285551 -0.2560274   0.0873726   0.29697084 -0.12204618
  0.11096239 -0.38281286  0.0598627   0.02407558 -0.0038438  -0.0343985
  0.12388763  0.41978753  0.45848367  0.3516679   0.3238684  -0.096205
  0.00852486  0.08252997 -0.3662945   0.01842485 -0.0714955  -0.2812364
 -0.01361607  0.14630887]",0.9206349206349191
23,99861,Avengers: Age of Ultron,7.264819510301568,"[ 0.08778477 -0.59489363  0.36260474  0.8192935  -0.3515774  -0.0792584
  0.43743804 -0.09110508]","[-0.01716994 -0.6511796   0.3024824   0.54721713  0.27271208 -0.30260357
  0.43271908  0.24424474  0.12028049  0.1040493   0.47425842 -0.19382536
  0.09243906 -0.49735716  0.11459976 -0.08429415  0.36214793  0.07000569
  0.23267643  0.5733868   0.966604    0.34072098  0.5253467  -0.1490759
 -0.28151762 -0.11658297 -0.23806708 -0.16674078  0.3115827  -0.44149387
 -0.15826885  0.48976246]",0.936507936507935
24,271110,Captain America: Civil War,7.3863141453533885,"[ 0.08778477 -0.59489363  0.36260474  0.8192935  -0.3515774  -0.0792584
  0.43743804 -0.09110508]","[ 0.08299135 -0.7266381   0.30659595  0.60707855  0.3351107  -0.31208536
  0.46367237  0.29096252  0.18430346  0.06939285  0.51901585 -0.26864848
  0.08964686 -0.49139404  0.18218029 -0.08777191  0.3680951   0.12325978
  0.23596843  0.64979196  1.0906394   0.3254749   0.58395344 -0.13953002
 -0.309654   -0.17332879 -0.16827834 -0.25484642  0.39125153 -0.51511514
 -0.1936353   0.5119181 ]",0.9444444444444446
25,49026,The Dark Knight Rises,7.755828093860842,"[ 0.08840194 -0.51898986  0.3370414   0.8185041  -0.38498342 -0.06795454
  0.5106068  -0.08003905]","[-0.14507848 -0.5578904   0.26224712  0.39546588  0.1598562  -0.32125643
  0.37883276  0.15248065 -0.13112622  0.16305241  0.47399035 -0.14624505
  0.08431575 -0.49708277  0.02095016 -0.02830289  0.23603706 -0.07247461
  0.20812272  0.5291009   0.73613137  0.40833798  0.46689034 -0.15645435
 -0.11429825  0.01545026 -0.4374683  -0.02112972  0.10953547 -0.3679923
 -0.08696998  0.39307868]",0.9126984126984112
26,68721,Iron Man 3,6.923336745584839,"[ 0.08778477 -0.59489363  0.36260474  0.8192935  -0.3515774  -0.0792584
  0.43743804 -0.09110508]","[-0.02999931 -0.64061874  0.23633738  0.43801594  0.29504764 -0.22959691
  0.44968536  0.18348366  0.07535281  0.14733233  0.43527013 -0.3095083
  0.10870047 -0.43510273  0.16083677 -0.0769458   0.18258418 -0.01735936
  0.21941265  0.55457735  0.8907252   0.3439833   0.55993915 -0.12271503
 -0.1748572  -0.09753228 -0.2799048  -0.22550644  0.22422571 -0.47223836
 -0.09287605  0.41028023]",0.9206349206349191
27,284054,Black Panther,7.376200878644465,"[ 0.08778477 -0.59489363  0.36260474  0.8192935  -0.3515774  -0.0792584
  0.43743804 -0.09110508]","[ 0.10311973 -0.8056466   0.32821003  0.7379932   0.37329397 -0.33741963
  0.5271856   0.32095373  0.28197977  0.05548564  0.56370455 -0.34040132
  0.06841272 -0.57412964  0.19550663 -0.11095396  0.40943608  0.06628469
  0.25968364  0.7370495   1.3004118   0.36703274  0.6745729  -0.15439989
 -0.34936976 -0.20413662 -0.1385493  -0.29147652  0.47911295 -0.5186736
 -0.21981716  0.6468604 ]",0.9603174603174605
28,284052,Doctor Strange,7.412389136087491,"[ 0.07918943 -0.6827927   0.4201912   0.8220768  -0.31794834 -0.08728131
  0.4113795  -0.17576118]","[ 0.01869151 -0.69643474  0.30703846  0.5261336   0.29270378 -0.3717891
  0.43058777  0.26014483  0.03523988  0.08419931  0.49505302 -0.24269547
  0.09554068 -0.54854006  0.13410509 -0.02109428  0.23030569  0.04526534
  0.21342646  0.6817429   1.0089215   0.39027616  0.56359464 -0.14369267
 -0.20561482 -0.09961308 -0.28027472 -0.16033332  0.24952483 -0.4789182
 -0.12866595  0.46408212]",0.9444444444444446
29,76341,Mad Max: Fury Road,7.564288043981626,"[ 0.08778477 -0.59489363  0.36260474  0.8192935  -0.3515774  -0.0792584
  0.43743804 -0.09110508]","[-0.2786958  -0.5293923   0.2334686   0.28631458  0.12175889 -0.35089314
  0.34281436  0.1469833  -0.3281058   0.21656926  0.49235663 -0.12341613
  0.05666685 -0.5267393  -0.0068258  -0.00171452  0.13285248 -0.08315995
  0.26739672  0.44368374  0.54460007  0.41734147  0.39596462 -0.08300238
 -0.03321341  0.07689438 -0.50815934  0.0788591  -0.02659276 -0.35213026
 -0.04939589  0.25767326]",0.936507936507935
